,epiGTBN-ReliefF_filtered_corrected,casmap-region-gwas-rec_filtered_corrected,episcan_filtered_corrected,antEpiSeeker_filtered_corrected,NNweights_filtered_corrected,plink-linearRegression-Hector_filtered_corrected,epiHSIC_filtered_corrected,plink-LR_filtered_corrected,lightGBM_filtered_corrected,mbmdr-gammaMaxt-lowerOrder_filtered_corrected,epiGTBN-Episcan_filtered_corrected,mbmdr-gammaMaxt_filtered_corrected,epiGTBN-ReliefF_filtered_uncorrected,episcan-notCorrected_filtered_uncorrected,plink-boost_filtered_uncorrected,NNweights_filtered_uncorrected,lightGBM_filtered_uncorrected,epiGTBN-Episcan_filtered_uncorrected,epiGTBN-ReliefF_unfiltered_corrected,episcan_unfiltered_corrected,antEpiSeeker_unfiltered_corrected,plink-linearRegression_unfiltered_corrected,NNweights_unfiltered_corrected,epiHSIC_unfiltered_corrected,lightGBM_unfiltered_corrected,mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,epiGTBN-Episcan_unfiltered_corrected,mbmdr-gammaMaxt_unfiltered_corrected,epiGTBN-ReliefF_unfiltered_uncorrected,episcan_unfiltered_uncorrected,plink-boost_unfiltered_uncorrected,NNweights_unfiltered_uncorrected,lightGBM_unfiltered_uncorrected,epiGTBN-Episcan_unfiltered_uncorrected
epiGTBN-ReliefF_filtered_corrected,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,4.0,0.0,0.0,0.0,9.0
casmap-region-gwas-rec_filtered_corrected,,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episcan_filtered_corrected,,,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,73.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
antEpiSeeker_filtered_corrected,,,,88.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
NNweights_filtered_corrected,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plink-linearRegression-Hector_filtered_corrected,,,,,,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epiHSIC_filtered_corrected,,,,,,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plink-LR_filtered_corrected,,,,,,,,100.0,0.0,0.0,7.0,36.0,5.0,0.0,1.0,0.0,0.0,9.0,0.0,4.0,0.0,81.0,0.0,0.0,0.0,0.0,6.0,25.0,2.0,14.0,0.0,0.0,0.0,8.0
lightGBM_filtered_corrected,,,,,,,,,100.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0
mbmdr-gammaMaxt-lowerOrder_filtered_corrected,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
